seed,dataset,operand_bits,arithmetic,family,prime,places,modulus,rns_moduli,modulus_entropy_bits,physical_lane_bits,accuracy,float_accuracy,accuracy_delta,float_agreement,logit_mae,wrap_rate,wrapped_values,accumulator_values,max_abs_accumulator,runtime_ms,logical_macs,residue_macs,input_clip_rate,weight_clip_rate,parameter_count,weight_count,bias_count,weight_storage_packed_bytes,bias_storage_packed_bytes,parameter_storage_packed_bytes
7,digits,4,rns,RNS,,,256027.0,503x509,17.965936435881222,18,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,3.055600030347705,1065600,2131200,0.0025694444444444445,0.0,2410,2368,42,1184,95,1279
7,digits,4,modular,Z/2^24Z,2.0,24.0,16777216.0,,24.0,24,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.3434166088700294,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,126,1310
7,digits,4,modular,Z/3^15Z,3.0,15.0,14348907.0,,23.774437510817343,24,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.1887500062584877,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,126,1310
7,digits,4,modular,Z/5^10Z,5.0,10.0,9765625.0,,23.219280948873624,24,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,1.2501333840191364,1065600,1065600,0.0025694444444444445,0.0,2410,2368,42,1184,126,1310
7,digits,4,rns,RNS,,,16777207.0,4093x4099,23.999999226077865,25,0.9733333333333334,0.9733333333333334,0.0,0.9866666666666667,0.6944403770298434,0.0,0,18900,203,2.587574999779463,1065600,2131200,0.0025694444444444445,0.0,2410,2368,42,1184,132,1316
7,digits,8,wide,integer-wide-accumulator,,,,,,32,0.9777777777777777,0.9733333333333334,0.004444444444444362,0.9955555555555555,0.19921398229300272,0.0,0,18900,34358,1.1207665782421827,1065600,1065600,9.259259259259259e-05,0.0,2410,2368,42,2368,168,2536
7,digits,8,modular,Z/2^8Z,2.0,8.0,256.0,,8.0,8,0.07333333333333333,0.9733333333333334,-0.9,0.07333333333333333,5.147512834471651,0.932962962962963,17633,18900,29909,1.171941589564085,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,42,2410
7,digits,8,modular,Z/3^5Z,3.0,5.0,243.0,,7.924812503605781,8,0.09333333333333334,0.9733333333333334,-0.88,0.09777777777777778,5.147775497100355,0.9352910052910053,17677,18900,29909,1.34676662273705,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,42,2410
7,digits,8,modular,Z/5^3Z,5.0,3.0,125.0,,6.965784284662087,7,0.11333333333333333,0.9733333333333334,-0.8600000000000001,0.11333333333333333,5.1474016332332395,0.9592592592592593,18130,18900,29909,1.0066081769764423,1065600,1065600,4.6296296296296294e-05,0.0,2410,2368,42,2368,37,2405
7,digits,8,rns,RNS,,,253.0,11x23,7.98299357469431,9,0.10222222222222223,0.9733333333333334,-0.8711111111111112,0.10444444444444445,5.147379580762236,0.9350793650793651,17673,18900,29909,3.388308407738805,1065600,2131200,4.6296296296296294e-05,0.0,2410,2368,42,2368,48,2416
